t,event,pad,x,y,z
14.78,TAKEOFF,Home,-4.0,-4.0,0.134
16.05,HOVER_REACHED,,-4.0,-4.0,1.542
19.26,SCAN_START,,-4.0,-4.0,1.564
23.455,SCAN_COMPLETE,,-4.0,-4.0,1.493
29.995,GOTO_TARGET_START,Pad 2,4.0,4.0,1.522
32.0,REPLAN_SUCCESS,Pad 2,4.0,4.0,1.683
38.535,PAD_ARRIVED,Pad 2,4.0,4.0,1.538
39.515,TOUCHDOWN,Pad 2,4.0,4.0,0.179
40.495,LANDED,Pad 2,4.0,4.0,0.133
