Index,X,Y,Grid_X,Grid_Y
211,4.478,2.868,124,108
212,4.478,2.767,124,107
213,4.478,2.667,124,106
214,4.478,2.566,124,105
215,4.478,2.465,124,104
216,4.478,2.365,124,103
217,4.478,2.264,124,102
218,4.478,2.164,124,101
219,4.478,2.063,124,100
220,4.478,1.962,124,99
221,4.478,1.862,124,98
222,4.478,1.761,124,97
223,4.478,1.66,124,96
224,4.478,1.56,124,95
225,4.478,1.459,124,94
226,4.478,1.358,124,93
227,4.478,1.258,124,92
228,4.478,1.157,124,91
229,4.478,1.057,124,90
230,4.478,0.956,124,89
231,4.478,0.855,124,88
232,4.478,0.755,124,87
233,4.478,0.654,124,86
234,4.478,0.553,124,85
235,4.478,0.453,124,84
236,4.478,0.352,124,83
237,4.478,0.252,124,82
238,4.478,0.151,124,81
239,4.478,0.05,124,80
240,4.478,-0.05,124,79
241,4.478,-0.151,124,78
242,4.478,-0.252,124,77
243,4.478,-0.352,124,76
244,4.478,-0.453,124,75
245,4.478,-0.553,124,74
246,4.478,-0.654,124,73
247,4.478,-0.755,124,72
248,4.478,-0.855,124,71
249,4.478,-0.956,124,70
250,4.478,-1.057,124,69
251,4.478,-1.157,124,68
252,4.478,-1.258,124,67
253,4.478,-1.358,124,66
254,4.478,-1.459,124,65
255,4.478,-1.56,124,64
256,4.478,-1.66,124,63
257,4.478,-1.761,124,62
258,4.478,-1.862,124,61
259,4.478,-1.962,124,60
260,4.478,-2.063,124,59
261,4.478,-2.164,124,58
262,4.478,-2.264,124,57
263,4.478,-2.365,124,56
264,4.478,-2.465,124,55
265,4.478,-2.566,124,54
266,4.478,-2.667,124,53
267,4.478,-2.767,124,52
268,4.478,-2.868,124,51
269,4.478,-2.969,124,50
270,4.478,-3.069,124,49
271,4.579,-3.17,125,48
272,4.679,-3.27,126,47
273,4.78,-3.371,127,46
274,4.78,-3.472,127,45
275,4.78,-3.572,127,44
276,4.679,-3.673,126,43
277,4.579,-3.673,125,43
278,4.478,-3.673,124,43
279,4.377,-3.673,123,43
280,4.277,-3.774,122,42
281,4.176,-3.874,121,41
282,4.075,-3.975,120,40
283,3.975,-4.075,119,39
284,3.874,-4.075,118,39
285,3.774,-4.075,117,39
286,3.673,-4.075,116,39
287,3.572,-4.075,115,39
288,3.472,-4.075,114,39
289,3.371,-4.075,113,39
290,3.27,-4.075,112,39
291,3.17,-4.075,111,39
292,3.069,-4.075,110,39
293,2.969,-4.075,109,39
294,2.868,-4.075,108,39
295,2.767,-4.075,107,39
296,2.667,-4.075,106,39
297,2.566,-4.075,105,39
298,2.465,-4.075,104,39
299,2.365,-4.075,103,39
300,2.264,-4.075,102,39
301,2.164,-4.075,101,39
302,2.063,-4.075,100,39
303,1.962,-4.075,99,39
304,1.862,-4.075,98,39
305,1.761,-4.075,97,39
306,1.66,-4.075,96,39
307,1.56,-4.075,95,39
308,1.459,-4.075,94,39
309,1.358,-4.075,93,39
310,1.258,-4.075,92,39
311,1.157,-4.075,91,39
312,1.057,-4.075,90,39
313,0.956,-4.075,89,39
314,0.855,-4.075,88,39
315,0.755,-4.075,87,39
316,0.654,-4.075,86,39
317,0.553,-4.075,85,39
318,0.453,-4.075,84,39
319,0.352,-4.075,83,39
320,0.252,-4.075,82,39
321,0.151,-4.075,81,39
322,0.05,-4.075,80,39
323,-0.05,-4.075,79,39
324,-0.151,-4.075,78,39
325,-0.252,-4.075,77,39
326,-0.352,-4.075,76,39
327,-0.453,-4.075,75,39
328,-0.553,-4.075,74,39
329,-0.654,-4.075,73,39
330,-0.755,-4.075,72,39
331,-0.855,-4.075,71,39
332,-0.956,-4.075,70,39
333,-1.057,-4.075,69,39
334,-1.157,-4.075,68,39
335,-1.258,-4.075,67,39
336,-1.358,-4.075,66,39
337,-1.459,-4.075,65,39
338,-1.56,-4.075,64,39
339,-1.66,-4.075,63,39
340,-1.761,-4.075,62,39
341,-1.862,-4.075,61,39
342,-1.962,-4.075,60,39
343,-2.063,-4.075,59,39
344,-2.164,-4.075,58,39
345,-2.264,-4.075,57,39
346,-2.365,-4.075,56,39
347,-2.465,-4.075,55,39
348,-2.566,-4.075,54,39
349,-2.667,-4.075,53,39
350,-2.767,-4.075,52,39
351,-2.868,-4.075,51,39
352,-2.969,-4.075,50,39
353,-3.069,-4.075,49,39
354,-3.17,-4.075,48,39
355,-3.27,-4.075,47,39
356,-3.371,-4.075,46,39
357,-3.472,-4.075,45,39
358,-3.572,-4.075,44,39
359,-3.673,-4.075,43,39
360,-3.774,-4.075,42,39
361,-3.874,-4.075,41,39
362,-3.975,-4.075,40,39
363,-4.075,-4.075,39,39
