t,state,x,y,z,qw,qx,qy,qz,vx,vy,vz,fx,fy,fz
4.995,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
5.095,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.195,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.295,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
5.395,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.495,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.595,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
5.695,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
5.795,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.895,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.995,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.095,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.195,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
6.295,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.395,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.495,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.595,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.695,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.795,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
6.895,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.995,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.095,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
7.195,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
7.295,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.395,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
7.495,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.595,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.695,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.795,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.895,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.995,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
8.095,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.195,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
8.295,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.395,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.495,LANDED,-4.0,-4.0,0.134,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
